School Name,State Name [Public School] Latest available year,School Name [Public School] 2023-24,County Name [Public School] 2023-24,Location ZIP [Public School] 2023-24,School Type [Public School] 2023-24,Charter School [Public School] 2023-24,Latitude [Public School] 2023-24,Longitude [Public School] 2023-24,School Level (SY 2017-18 onward) [Public School] 2023-24,Lowest Grade Offered [Public School] 2023-24,Highest Grade Offered [Public School] 2023-24,Total Students All Grades (Excludes AE) [Public School] 2023-24,Free Lunch Eligible [Public School] 2023-24,Direct Certification [Public School] 2023-24,Reduced-price Lunch Eligible Students [Public School] 2023-24,Free and Reduced Lunch Students [Public School] 2023-24,Grades 1-8 Students [Public School] 2023-24,Grades 9-12 Students [Public School] 2023-24,Prekindergarten Students [Public School] 2023-24,Kindergarten Students [Public School] 2023-24,Male Students [Public School] 2023-24,Female Students [Public School] 2023-24,American Indian/Alaska Native Students [Public School] 2023-24,Asian or Asian/Pacific Islander Students [Public School] 2023-24,Hispanic Students [Public School] 2023-24,Black or African American Students [Public School] 2023-24,White Students [Public School] 2023-24,Nat. Hawaiian or Other Pacific Isl. Students [Public School] 2023-24,Two or More Races Students [Public School] 2023-24,Total Race/Ethnicity [Public School] 2023-24,Pupil/Teacher Ratio [Public School] 2023-24
7 PILLARS CAREER ACADEMY,GEORGIA,7 Pillars Career Academy,Clayton County,30297,1-Regular school,1-Yes,33.638685,-84.371427,Middle,6th Grade,10th Grade,271,196,196,0,196,185,86,†,†,142,129,2,0,21,239,4,0,5,271,19.36
A.L. BURRUSS ELEMENTARY SCHOOL,Georgia,A.L. Burruss Elementary School,Cobb County,30064,1-Regular school,2-No,33.943400,-84.578100,Elementary,Prekindergarten,5th Grade,388,188,73,25,213,302,†,6,80,185,203,1,6,93,127,129,0,32,388,10.08
AARON COHN MIDDLE SCHOOL,Georgia,Aaron Cohn Middle School,Muscogee County,31820,1-Regular school,2-No,32.550143,-84.824682,Middle,6th Grade,8th Grade,549,198,92,45,243,549,†,†,†,274,275,1,12,57,253,167,0,59,549,17.43
AARON COHN REGIONAL YOUTH DETENTION CENTER,Georgia,Aaron Cohn Regional Youth Detention Center,Muscogee County,31820,4-Alternative Education School,2-No,32.527150,-84.852240,High,5th Grade,12th Grade,17,14,14,0,14,5,12,†,†,17,0,0,0,1,13,3,0,0,17,4.36
ABBOTTS HILL ELEMENTARY SCHOOL,Georgia,Abbotts Hill Elementary School,Fulton County,30097,1-Regular school,2-No,34.056200,-84.196400,Elementary,Prekindergarten,5th Grade,559,88,22,7,95,488,†,5,66,256,303,1,182,72,73,192,0,39,559,13.63
ACADEMY FOR CLASSICAL EDUCATION,GEORGIA,Academy For Classical Education,Bibb County,31210,1-Regular school,1-Yes,32.939286,-83.727915,Other,Kindergarten,12th Grade,1808,300,3,0,300,1156,512,†,140,863,945,2,160,60,288,1244,3,51,1808,13.41
ACADEMY OF RICHMOND COUNTY HIGH SCHOOL,Georgia,Academy of Richmond County High School,Richmond County,30904,1-Regular school,2-No,33.474000,-82.005400,High,9th Grade,12th Grade,1175,688,408,0,688,†,1175,†,†,596,579,8,7,85,830,180,16,49,1175,12.24
ACWORTH INTERMEDIATE SCHOOL,Georgia,Acworth Intermediate School,Cobb County,30101,1-Regular school,2-No,34.057700,-84.653200,Elementary,2nd Grade,5th Grade,505,334,110,49,383,505,†,0,†,245,260,2,4,155,160,136,0,48,505,10.86
ADAIRSVILLE ELEMENTARY SCHOOL,Georgia,Adairsville Elementary School,Bartow County,30103,1-Regular school,2-No,34.369388,-84.937980,Elementary,Prekindergarten,5th Grade,908,457,135,91,548,681,†,90,137,482,426,0,4,93,56,691,0,64,908,15.99
ADAIRSVILLE HIGH SCHOOL,Georgia,Adairsville High School,Bartow County,30103,1-Regular school,2-No,34.339757,-84.916887,High,9th Grade,12th Grade,1233,575,184,109,684,†,1233,†,†,653,580,1,10,121,68,980,1,52,1233,18.00
ADAIRSVILLE MIDDLE SCHOOL,Georgia,Adairsville Middle School,Bartow County,30103,1-Regular school,2-No,34.334000,-84.915700,Middle,6th Grade,8th Grade,842,426,168,61,487,842,†,†,†,419,423,0,4,77,39,679,0,43,842,16.84
ADAMSON MIDDLE SCHOOL,Georgia,Adamson Middle School,Clayton County,30273,1-Regular school,2-No,33.589700,-84.286200,Middle,6th Grade,8th Grade,523,445,273,0,445,523,†,†,†,253,270,0,14,129,364,6,0,10,523,12.45
ADDISON ELEMENTARY SCHOOL,Georgia,Addison Elementary School,Cobb County,30066,1-Regular school,2-No,34.025300,-84.491700,Elementary,Prekindergarten,5th Grade,571,172,48,28,200,465,†,13,93,291,280,2,42,109,68,293,0,57,571,12.12
ALBANY MIDDLE SCHOOL,Georgia,Albany Middle School,Dougherty County,31705,1-Regular school,2-No,31.591506,-84.109484,Middle,6th Grade,8th Grade,819,819,463,0,819,819,†,†,†,442,377,1,0,28,749,26,0,15,819,14.63
ALCOVA ELEMENTARY SCHOOL,Georgia,Alcova Elementary School,Gwinnett County,30019,1-Regular school,2-No,33.968400,-83.898900,Elementary,Prekindergarten,5th Grade,1459,877,323,170,1047,1249,†,8,202,741,718,4,94,376,779,136,2,68,1459,14.04
ALCOVY HIGH SCHOOL,Georgia,Alcovy High School,Newton County,30014,1-Regular school,2-No,33.458300,-83.843800,High,9th Grade,12th Grade,2039,1154,493,187,1341,†,2039,†,†,1044,995,1,12,238,1288,394,7,99,2039,20.58
ALEXANDER HIGH SCHOOL,Georgia,Alexander High School,Douglas County,30135,1-Regular school,2-No,33.684500,-84.786900,High,9th Grade,12th Grade,1844,885,333,148,1033,†,1844,†,†,947,897,8,26,307,598,779,0,126,1844,18.26
ALEXANDER II MAGNET SCHOOL,Georgia,Alexander II Magnet School,Bibb County,31201,1-Regular school,2-No,32.832800,-83.645000,Elementary,Prekindergarten,5th Grade,479,208,154,0,208,382,†,21,76,247,232,0,6,12,387,56,0,18,479,13.49
ALFORD ELEMENTARY,Georgia,Alford Elementary,Gwinnett County,30044,1-Regular school,2-No,33.925424,-84.070805,Elementary,Prekindergarten,5th Grade,822,622,200,78,700,700,†,24,98,413,409,0,81,484,179,61,0,17,822,11.50
ALICE COACHMAN ELEMENTARY SCHOOL,Georgia,Alice Coachman Elementary School,Dougherty County,31707,1-Regular school,2-No,31.550900,-84.191700,Elementary,Prekindergarten,5th Grade,447,447,268,0,447,336,†,38,73,251,196,0,3,10,410,20,0,4,447,14.42
ALLATOONA ELEMENTARY SCHOOL,Georgia,Allatoona Elementary School,Bartow County,30102,1-Regular school,2-No,34.117671,-84.669695,Elementary,Prekindergarten,5th Grade,415,302,121,38,340,324,†,25,66,211,204,0,4,196,15,165,0,35,415,12.58
ALLATOONA HIGH SCHOOL,Georgia,Allatoona High School,Cobb County,30101,1-Regular school,2-No,34.035240,-84.735803,High,9th Grade,12th Grade,1642,394,84,104,498,†,1642,†,†,825,817,4,55,224,313,948,2,96,1642,17.62
ALLEN ELEMENTARY SCHOOL,Georgia,Allen Elementary School,Muscogee County,31904,1-Regular school,2-No,32.514500,-84.960300,Elementary,Kindergarten,5th Grade,446,446,133,0,446,379,†,†,67,221,225,2,3,146,121,143,0,31,446,14.62
ALLGOOD ELEMENTARY SCHOOL,Georgia,Allgood Elementary School,DeKalb County,30083,1-Regular school,2-No,33.779400,-84.212200,Elementary,Prekindergarten,5th Grade,591,591,264,0,591,436,†,49,106,313,278,5,156,70,326,17,1,16,591,14.74
ALLGOOD ELEMENTARY SCHOOL,Georgia,Allgood Elementary School,Paulding County,30157,1-Regular school,2-No,33.873600,-84.848200,Elementary,Prekindergarten,5th Grade,836,541,217,94,635,692,†,5,139,450,386,6,7,140,336,292,0,55,836,13.70
ALLIANCE ACADEMY FOR INNOVATION,GEORGIA,Alliance Academy for Innovation,Forsyth County,30040,1-Regular school,2-No,34.218795,-84.115626,High,9th Grade,12th Grade,1116,101,15,30,131,†,1116,†,†,614,502,8,598,94,22,379,1,14,1116,18.06
ALPHARETTA ELEMENTARY SCHOOL,Georgia,Alpharetta Elementary School,Fulton County,30009,1-Regular school,2-No,34.081700,-84.301600,Elementary,Prekindergarten,5th Grade,519,104,24,11,115,395,†,45,79,268,251,0,67,54,69,299,1,29,519,11.33
ALPHARETTA HIGH SCHOOL,Georgia,Alpharetta High School,Fulton County,30005,1-Regular school,2-No,34.075300,-84.255300,High,9th Grade,12th Grade,2084,291,80,52,343,†,2084,†,†,1027,1057,2,595,303,411,683,1,89,2084,18.41
ALTAMA ELEMENTARY SCHOOL,Georgia,Altama Elementary School,Glynn County,31525,1-Regular school,2-No,31.222283,-81.480514,Elementary,Prekindergarten,5th Grade,593,526,297,29,555,467,†,41,85,285,308,4,13,115,378,47,2,34,593,12.67
ALTAMAHA ELEMENTARY SCHOOL,Georgia,Altamaha Elementary School,Appling County,31513,1-Regular school,2-No,31.876100,-82.361900,Elementary,Prekindergarten,5th Grade,389,246,123,0,246,280,†,47,62,207,182,1,0,29,21,318,0,20,389,13.99
ALTO PARK ELEMENTARY SCHOOL,Georgia,Alto Park Elementary School,Floyd County,30165,1-Regular school,2-No,34.259700,-85.234000,Elementary,Prekindergarten,4th Grade,430,320,120,32,352,303,†,54,73,231,199,3,2,134,30,233,0,28,430,12.15
AMANA ACADEMY SCHOOL,Georgia,Amana Academy School,Fulton County,30009,1-Regular school,1-Yes,34.069218,-84.302681,Elementary,Kindergarten,8th Grade,734,290,95,64,354,657,†,†,77,354,380,2,171,101,281,132,0,47,734,13.85
AMANA ACADEMY WEST ATLANTA,GEORGIA,Amana Academy West Atlanta,Cobb County,30126,1-Regular school,1-Yes,33.818400,-84.546441,Elementary,Kindergarten,8th Grade,206,48,17,7,55,174,†,†,32,101,105,0,2,10,155,22,0,17,206,10.84
AMBROSE ELEMENTARY SCHOOL,Georgia,Ambrose Elementary School,Coffee County,31512,1-Regular school,2-No,31.596200,-83.007300,Elementary,Prekindergarten,5th Grade,405,334,114,0,334,307,†,44,54,197,208,2,2,111,48,226,0,16,405,14.36
ANDERSON ELEMENTARY SCHOOL,Georgia,Anderson Elementary School,Clayton County,30288,1-Regular school,2-No,33.640600,-84.333400,Elementary,Prekindergarten,5th Grade,479,429,184,0,429,390,†,27,62,243,236,1,0,200,259,10,1,8,479,14.97
ANDERSON-LIVSEY ELEMENTARY SCHOOL,Georgia,Anderson-Livsey Elementary School,Gwinnett County,30039,1-Regular school,2-No,33.775500,-84.050100,Elementary,Prekindergarten,5th Grade,676,533,247,37,570,541,†,43,92,332,344,1,9,188,405,21,1,51,676,12.52
ANDREA B WILLIAMS ELEMENTARY SCHOOL,Georgia,Andrea B Williams Elementary School,Chatham County,31404,1-Regular school,2-No,32.064134,-81.078014,Elementary,1st Grade,5th Grade,456,411,291,19,430,456,†,†,†,251,205,0,1,23,407,7,3,15,456,13.82
ANITA WHITE CARSON MIDDLE SCHOOL,Georgia,Anita White Carson Middle School,Greene County,30642,1-Regular school,2-No,33.561200,-83.180000,Middle,5th Grade,8th Grade,396,386,203,0,386,396,†,†,†,212,184,1,1,77,253,46,0,18,396,11.51
ANNA K. DAVIE ELEMENTARY,GEORGIA,Anna K. Davie Elementary,Floyd County,30161,1-Regular school,2-No,34.241463,-85.180691,Elementary,Prekindergarten,6th Grade,408,384,219,16,400,308,†,43,57,198,210,0,0,76,250,43,0,39,408,10.97
ANNE STREET ELEMENTARY SCHOOL,Georgia,Anne Street Elementary School,Spalding County,30224,1-Regular school,2-No,33.237800,-84.277700,Elementary,Prekindergarten,5th Grade,318,318,200,0,318,227,†,39,52,167,151,2,0,16,278,14,0,8,318,13.14
ANNETTE WINN ELEMENTARY SCHOOL,Georgia,Annette Winn Elementary School,Douglas County,30122,1-Regular school,2-No,33.795919,-84.656766,Elementary,Prekindergarten,5th Grade,316,244,108,30,274,261,†,0,55,165,151,2,2,128,141,19,0,24,316,11.92
ANNIE BELLE CLARK ELEMENTARY SCHOOL,Georgia,Annie Belle Clark Elementary School,Tift County,31793,1-Regular school,2-No,31.466300,-83.549400,Elementary,Prekindergarten,5th Grade,788,694,265,0,694,602,†,60,126,406,382,1,9,83,288,372,0,35,788,15.01
ANNISTOWN ELEMENTARY SCHOOL,Georgia,Annistown Elementary School,Gwinnett County,30039,1-Regular school,2-No,33.803200,-84.068600,Elementary,Prekindergarten,5th Grade,723,532,221,51,583,621,†,0,102,353,370,0,35,232,376,41,0,39,723,12.47
ANTIOCH ELEMENTARY SCHOOL,Georgia,Antioch Elementary School,Whitfield County,30721,1-Regular school,2-No,34.740537,-84.934340,Elementary,Prekindergarten,5th Grade,470,393,114,61,454,358,†,38,74,241,229,3,0,317,4,139,0,7,470,11.75
APALACHEE HIGH SCHOOL,Georgia,Apalachee High School,Barrow County,30680,1-Regular school,2-No,33.948300,-83.785600,High,9th Grade,12th Grade,1928,1014,272,246,1260,†,1928,†,†,1037,891,3,69,593,360,801,0,102,1928,15.49
APPLING COUNTY ELEMENTARY SCHOOL,Georgia,Appling County Elementary School,Appling County,31513,1-Regular school,2-No,31.754500,-82.353500,Elementary,Prekindergarten,5th Grade,1153,1138,528,0,1138,829,†,160,164,570,583,1,7,272,260,542,0,71,1153,12.34
APPLING COUNTY HIGH SCHOOL,Georgia,Appling County High School,Appling County,31513,1-Regular school,2-No,31.757900,-82.354800,High,9th Grade,12th Grade,1053,695,382,0,695,†,1053,†,†,540,513,0,12,202,252,553,0,34,1053,15.60
APPLING COUNTY MIDDLE SCHOOL,Georgia,Appling County Middle School,Appling County,31513,1-Regular school,2-No,31.723200,-82.339900,Middle,6th Grade,8th Grade,740,615,315,0,615,740,†,†,†,383,357,0,2,155,166,387,1,29,740,11.42
APPLING MIDDLE SCHOOL,Georgia,Appling Middle School,Bibb County,31211,1-Regular school,2-No,32.866714,-83.622019,Middle,6th Grade,8th Grade,676,492,368,0,492,676,†,†,†,370,306,0,1,19,628,16,0,12,676,14.32
ARABIA MOUNTAIN HIGH SCHOOL - ACADEMY OF ENGINEERING- MEDIC,Georgia,Arabia Mountain High School - Academy of Engineering- Medic,DeKalb County,30038,1-Regular school,2-No,33.650543,-84.131015,High,9th Grade,12th Grade,1272,650,223,173,823,†,1272,†,†,551,721,2,7,44,1196,1,3,19,1272,20.52
ARBOR SPRINGS ELEMENTARY,Georgia,Arbor Springs Elementary,Coweta County,30265,1-Regular school,2-No,33.466200,-84.692400,Elementary,Prekindergarten,5th Grade,413,138,60,22,160,324,†,27,62,219,194,2,8,36,63,282,0,22,413,12.52
ARBOR STATION ELEMENTARY SCHOOL,Georgia,Arbor Station Elementary School,Douglas County,30135,1-Regular school,2-No,33.711900,-84.752600,Elementary,Prekindergarten,5th Grade,566,386,182,50,436,482,†,0,84,286,280,2,13,116,317,73,0,45,566,15.42
ARCADO ELEMENTARY SCHOOL,Georgia,Arcado Elementary School,Gwinnett County,30047,1-Regular school,2-No,33.872000,-84.139800,Elementary,Prekindergarten,5th Grade,933,540,170,62,602,808,†,4,121,477,456,11,271,302,217,108,3,21,933,13.07
ARCHER HIGH SCHOOL,Georgia,Archer High School,Gwinnett County,30045,1-Regular school,2-No,33.916231,-83.893516,High,9th Grade,12th Grade,3073,1348,375,268,1616,†,3073,†,†,1581,1492,7,110,613,1677,513,3,150,3073,19.25
ARGYLE ELEMENTARY SCHOOL,Georgia,Argyle Elementary School,Cobb County,30080,1-Regular school,2-No,33.882600,-84.483400,Elementary,Prekindergarten,5th Grade,309,261,87,27,288,248,†,3,58,158,151,0,9,157,123,13,0,7,309,8.33
ARMUCHEE ELEMENTARY SCHOOL,GEORGIA,Armuchee Elementary School,Floyd County,30105,1-Regular school,2-No,34.387205,-85.166908,Elementary,3rd Grade,6th Grade,536,244,111,26,270,536,†,†,†,273,263,0,6,28,38,426,0,38,536,14.64
ARMUCHEE HIGH SCHOOL,Georgia,Armuchee High School,Floyd County,30165,1-Regular school,2-No,34.342700,-85.175000,High,7th Grade,12th Grade,820,309,147,46,355,261,559,†,†,439,381,1,17,60,53,648,0,41,820,16.24
ARMUCHEE PRIMARY SCHOOL,Georgia,Armuchee Primary School,Floyd County,30165,1-Regular school,2-No,34.365200,-85.174500,Elementary,Prekindergarten,2nd Grade,469,273,87,31,304,271,†,77,121,243,226,0,2,26,26,383,0,32,469,12.18
ARNALL MIDDLE SCHOOL,Georgia,Arnall Middle School,Coweta County,30265,1-Regular school,2-No,33.392700,-84.702400,Middle,6th Grade,8th Grade,693,369,210,52,421,693,†,†,†,382,311,4,41,117,302,186,1,42,693,14.14
ARNCO-SARGENT ELEMENTARY SCHOOL,Georgia,Arnco-Sargent Elementary School,Coweta County,30263,1-Regular school,2-No,33.438300,-84.873300,Elementary,Prekindergarten,5th Grade,378,257,133,21,278,290,†,26,62,187,191,2,0,67,74,213,0,22,378,13.03
ARNOLD ELEMENTARY SCHOOL,Georgia,Arnold Elementary School,Clayton County,30236,1-Regular school,2-No,33.524400,-84.347900,Elementary,Prekindergarten,5th Grade,439,334,187,0,334,351,†,27,61,215,224,1,24,83,297,14,0,20,439,14.16
ARNOLD MIDDLE SCHOOL,Georgia,Arnold Middle School,Muscogee County,31904,1-Regular school,2-No,32.514400,-84.963400,Middle,6th Grade,8th Grade,625,535,245,0,535,625,†,†,†,318,307,2,7,186,287,105,1,37,625,16.89
ARNOLD MILL ELEMENTARY SCHOOL,Georgia,Arnold Mill Elementary School,Cherokee County,30188,1-Regular school,2-No,34.108200,-84.438200,Elementary,Prekindergarten,5th Grade,773,194,145,31,225,643,†,22,108,438,335,1,19,126,45,522,0,60,773,13.61
ARROW ACADEMY ALTERNATIVE SCHOOL,GEORGIA,Arrow Academy Alternative School,Heard County,30217,1-Regular school,2-No,33.275625,-85.093260,High,6th Grade,12th Grade,26,23,10,0,23,7,19,†,†,21,5,0,0,0,4,22,0,0,26,52.00
ARTHUR WILLIAMS MIDDLE SCHOOL,Georgia,Arthur Williams Middle School,Wayne County,31546,1-Regular school,2-No,31.583500,-81.875600,Middle,6th Grade,8th Grade,610,448,234,0,448,610,†,†,†,317,293,1,10,77,156,341,0,25,610,12.58
ASA HILLIARD ELEMENTARY SCHOOL,Georgia,Asa Hilliard Elementary School,Fulton County,30344,1-Regular school,2-No,33.664771,-84.478752,Elementary,Prekindergarten,5th Grade,432,432,194,0,432,325,†,41,66,230,202,1,2,48,367,3,0,11,432,10.83
ASHFORD PARK ELEMENTARY SCHOOL,Georgia,Ashford Park Elementary School,DeKalb County,30319,1-Regular school,2-No,33.874340,-84.322021,Elementary,Prekindergarten,5th Grade,725,108,35,8,116,547,†,22,156,360,365,2,55,77,91,435,0,65,725,14.89
ASHWORTH MIDDLE SCHOOL,Georgia,Ashworth Middle School,Gordon County,30701,1-Regular school,2-No,34.519900,-84.923800,Middle,6th Grade,8th Grade,576,420,166,52,472,576,†,†,†,305,271,1,5,172,11,369,0,18,576,13.65
ATHA ROAD ELEMENTARY SCHOOL,Georgia,Atha Road Elementary School,Walton County,30655,1-Regular school,2-No,33.790700,-83.786300,Elementary,Prekindergarten,5th Grade,800,427,192,86,513,602,†,69,129,403,397,3,15,66,180,486,0,50,800,14.90
ATKINSON COUNTY HIGH SCHOOL,Georgia,Atkinson County High School,Atkinson County,31642,1-Regular school,2-No,31.321050,-82.849490,High,9th Grade,12th Grade,450,311,64,50,361,†,450,†,†,233,217,0,1,208,68,166,0,7,450,14.66
ATKINSON COUNTY MIDDLE SCHOOL,Georgia,Atkinson County Middle School,Atkinson County,31642,1-Regular school,2-No,31.321050,-82.849490,Middle,6th Grade,8th Grade,336,241,94,47,288,336,†,†,†,162,174,0,1,152,51,128,0,4,336,13.39
ATKINSON ELEMENTARY SCHOOL,Georgia,Atkinson Elementary School,Brantley County,31566,1-Regular school,2-No,31.190884,-81.822323,Middle,4th Grade,6th Grade,260,244,100,0,244,260,†,†,†,126,134,0,0,10,7,233,1,9,260,13.68
ATKINSON ELEMENTARY SCHOOL,Georgia,Atkinson Elementary School,Spalding County,30223,1-Regular school,2-No,33.271300,-84.259400,Elementary,Prekindergarten,5th Grade,383,383,223,0,383,279,†,42,62,205,178,2,1,30,312,17,0,21,383,13.03
ATKINSON ELEMENTARY SCHOOL,Georgia,Atkinson Elementary School,Coweta County,30263,1-Regular school,2-No,33.366800,-84.799700,Elementary,Prekindergarten,5th Grade,410,255,148,20,275,314,†,26,70,206,204,1,3,73,126,179,1,27,410,12.81
ATLANTA AREA SCHOOL FOR THE DEAF,GEORGIA,Atlanta Area School for the Deaf,DeKalb County,30021,2-Special education school,2-No,33.802741,-84.240062,Other,Prekindergarten,12th Grade,126,61,17,17,78,56,62,6,2,77,49,0,3,41,64,16,1,1,126,3.80
ATLANTA CLASSICAL ACADEMY,GEORGIA,Atlanta Classical Academy,Fulton County,30305,1-Regular school,1-Yes,33.843780,-84.407711,Other,Kindergarten,12th Grade,681,96,42,19,115,468,159,†,54,341,340,1,9,52,110,462,1,46,681,11.48
ATLANTA HEIGHTS CHARTER SCHOOL,Georgia,Atlanta Heights Charter School,Fulton County,30331,1-Regular school,1-Yes,33.762973,-84.513714,Elementary,Kindergarten,8th Grade,765,762,454,0,762,670,†,†,95,368,397,1,0,35,676,0,0,53,765,25.25
ATLANTA NEIGHBORHOOD CHARTER - ELEMENTARY,Georgia,Atlanta Neighborhood Charter - Elementary,Fulton County,30315,1-Regular school,1-Yes,33.735700,-84.376100,Elementary,Kindergarten,5th Grade,394,45,20,10,55,330,†,†,64,201,193,0,3,18,74,258,1,40,394,11.76
ATLANTA NEIGHBORHOOD CHARTER - MIDDLE,Georgia,Atlanta Neighborhood Charter - Middle,Fulton County,30316,1-Regular school,1-Yes,33.732522,-84.355146,Middle,6th Grade,8th Grade,234,30,12,11,41,234,†,†,†,127,107,0,4,12,48,147,0,23,234,11.58
ATLANTA SMART ACADEMY,GEORGIA,Atlanta SMART Academy,Fulton County,30311,1-Regular school,1-Yes,33.752756,-84.474272,Middle,5th Grade,8th Grade,213,188,88,0,188,213,†,†,†,103,110,0,0,3,200,1,0,9,213,11.51
ATLANTA UNBOUND ACADEMY,GEORGIA,Atlanta Unbound Academy,Fulton County,30337,1-Regular school,1-Yes,33.660719,-84.445933,Elementary,Kindergarten,8th Grade,190,169,79,0,169,166,†,†,24,90,100,0,0,3,184,2,0,1,190,12.67
ATLANTA YOUTH DEVELOPMENT CAMPUS,Georgia,Atlanta Youth Development Campus,Fulton County,30349,2-Special education school,2-No,33.602119,-84.555209,High,5th Grade,12th Grade,12,9,9,0,9,0,12,†,†,12,0,0,0,0,8,4,0,0,12,3.00
AUBURN ELEMENTARY SCHOOL,Georgia,Auburn Elementary School,Barrow County,30011,1-Regular school,2-No,34.009700,-83.824200,Elementary,Prekindergarten,5th Grade,718,442,110,87,529,551,†,66,101,365,353,0,35,234,74,310,0,65,718,12.13
AUGUSTA REGIONAL YOUTH DETENTION CENTER,Georgia,Augusta Regional Youth Detention Center,Richmond County,30906,4-Alternative Education School,2-No,33.391500,-82.006200,High,5th Grade,12th Grade,17,14,14,0,14,4,13,†,†,17,0,0,0,0,15,2,0,0,17,3.40
AUGUSTA YOUTH DEVELOPMENT CAMPUS,Georgia,Augusta Youth Development Campus,Richmond County,30906,4-Alternative Education School,2-No,33.391390,-82.006156,High,5th Grade,12th Grade,28,25,25,0,25,1,27,†,†,28,0,1,0,1,18,5,0,3,28,3.50
AUSTELL ELEMENTARY SCHOOL,Georgia,Austell Elementary School,Cobb County,30106,1-Regular school,2-No,33.816600,-84.634300,Elementary,Prekindergarten,5th Grade,358,286,104,36,322,301,†,14,43,177,181,1,1,129,179,24,0,24,358,9.92
AUSTIN ELEMENTARY SCHOOL,Georgia,Austin Elementary School,DeKalb County,30338,1-Regular school,2-No,33.956073,-84.334412,Elementary,Prekindergarten,5th Grade,743,33,10,5,38,571,†,44,128,383,360,5,209,62,50,369,0,48,743,16.77
AUSTIN ROAD ELEMENTARY SCHOOL,Georgia,Austin Road Elementary School,Henry County,30281,1-Regular school,2-No,33.606800,-84.184100,Elementary,Prekindergarten,5th Grade,409,299,142,26,325,334,†,21,54,218,191,2,9,76,281,22,0,19,409,12.28
AUSTIN ROAD ELEMENTARY SCHOOL,GEORGIA,Austin Road Elementary School,Barrow County,30680,1-Regular school,2-No,33.943137,-83.661731,Elementary,Prekindergarten,5th Grade,664,358,96,70,428,506,†,54,104,334,330,3,21,157,108,331,0,44,664,14.07
AUSTIN ROAD MIDDLE SCHOOL,Georgia,Austin Road Middle School,Henry County,30281,1-Regular school,2-No,33.609400,-84.184100,Middle,6th Grade,8th Grade,546,369,207,54,423,546,†,†,†,281,265,2,3,95,394,29,0,23,546,16.90
AUTREY MILL MIDDLE SCHOOL,Georgia,Autrey Mill Middle School,Fulton County,30022,1-Regular school,2-No,34.018800,-84.239600,Middle,6th Grade,8th Grade,1264,165,38,27,192,1264,†,†,†,645,619,1,416,126,122,518,1,80,1264,14.89
AVERY ELEMENTARY SCHOOL,Georgia,Avery Elementary School,Cherokee County,30115,1-Regular school,2-No,34.214700,-84.394600,Elementary,Prekindergarten,5th Grade,1132,227,162,39,266,953,†,26,153,569,563,1,24,154,36,869,0,48,1132,14.86
AVONDALE ELEMENTARY SCHOOL,Georgia,Avondale Elementary School,DeKalb County,30002,1-Regular school,2-No,33.773871,-84.261955,Elementary,Prekindergarten,5th Grade,456,446,160,0,446,349,†,33,74,221,235,1,30,38,298,71,0,18,456,13.73
AWTREY MIDDLE SCHOOL,Georgia,Awtrey Middle School,Cobb County,30144,1-Regular school,2-No,34.042900,-84.647400,Middle,6th Grade,8th Grade,643,272,66,60,332,643,†,†,†,346,297,3,25,143,234,188,3,47,643,15.09
AZ KELSEY ACADEMY,Georgia,AZ Kelsey Academy,Spalding County,30223,1-Regular school,2-No,33.259109,-84.255916,High,9th Grade,12th Grade,28,21,11,0,21,†,28,†,†,15,13,0,0,0,16,7,0,5,28,4.67
B.E.S.T ACADEMY,Georgia,B.E.S.T Academy,Fulton County,30318,1-Regular school,2-No,33.788712,-84.479439,High,6th Grade,12th Grade,237,229,81,0,229,104,133,†,†,237,0,0,0,9,225,0,0,3,237,6.58
BABB MIDDLE SCHOOL,Georgia,Babb Middle School,Clayton County,30297,1-Regular school,2-No,33.604300,-84.353400,Middle,6th Grade,8th Grade,878,738,374,0,738,878,†,†,†,464,414,2,61,485,290,14,1,25,878,15.14
BACON COUNTY ELEMENTARY SCHOOL,Georgia,Bacon County Elementary School,Bacon County,31510,1-Regular school,2-No,31.536800,-82.454100,Elementary,3rd Grade,5th Grade,429,372,207,0,372,429,†,†,†,212,217,0,1,64,110,235,0,19,429,11.23
BACON COUNTY HIGH SCHOOL,Georgia,Bacon County High School,Bacon County,31510,1-Regular school,2-No,31.521944,-82.459265,High,9th Grade,12th Grade,636,401,208,57,458,†,636,†,†,330,306,0,3,110,131,364,0,28,636,14.39
BACON COUNTY MIDDLE SCHOOL,Georgia,Bacon County Middle School,Bacon County,31510,1-Regular school,2-No,31.521944,-82.459265,Middle,6th Grade,8th Grade,461,352,174,0,352,461,†,†,†,243,218,0,1,63,92,275,0,30,461,11.97
BACON COUNTY PRIMARY SCHOOL,Georgia,Bacon County Primary School,Bacon County,31510,1-Regular school,2-No,31.559000,-82.479600,Elementary,Prekindergarten,2nd Grade,585,538,207,0,538,322,†,102,161,309,276,2,3,101,144,308,0,27,585,13.60
BACON ELEMENTARY SCHOOL,Georgia,Bacon Elementary School,Wayne County,31545,1-Regular school,2-No,31.616390,-81.902766,Elementary,Prekindergarten,5th Grade,634,604,262,0,604,491,†,57,86,325,309,0,3,66,136,379,0,50,634,15.28
BACONTON COMMUNITY CHARTER SCHOOL,GEORGIA,Baconton Community Charter School,Mitchell County,31716,1-Regular school,1-Yes,31.376550,-84.156013,Other,Prekindergarten,12th Grade,901,479,8,113,592,570,225,43,63,467,434,0,6,94,148,635,0,18,901,12.18
